index,First Author,Title,Year,Citations
2360,"Weiner, Bryan J.","Combined use of the Consolidated Framework for Implementation Research
   (CFIR) and the Theoretical Domains Framework (TDF): a systematic review",2017,222
2669,"Haines, Emily","Combined use of the Consolidated Framework for Implementation Research
   (CFIR) and the Theoretical Domains Framework (TDF): a systematic review",2017,222
121,"de Witte, Martina","Music therapy for stress reduction: a systematic review and
   meta-analysis",2022,219
938,"Stams, Geert-Jan","Music therapy for stress reduction: a systematic review and
   meta-analysis",2022,219
1001,"van Hooren, Susan","Effects of music interventions on stress-related outcomes: a systematic
   review and two meta-analyses",2020,219
321,"McEvoy, Rachel","A qualitative systematic review of studies using the normalization
   process theory to research implementation processes",2014,218
732,"Ballini, Luciana","A qualitative systematic review of studies using the normalization
   process theory to research implementation processes",2014,218
1125,"Maltoni, Susanna","A qualitative systematic review of studies using the normalization
   process theory to research implementation processes",2014,218
1470,"O'Donnell,   Catherine A.","A qualitative systematic review of studies using the normalization
   process theory to research implementation processes",2014,218
214,"Gillison, Fiona B.","A meta-analysis of techniques to promote motivation for health behaviour
   change from a self-determination theory perspective",2019,213
626,"Rouse, Peter","A meta-analysis of techniques to promote motivation for health behaviour
   change from a self-determination theory perspective",2019,213
1027,"Standage, Martyn","A meta-analysis of techniques to promote motivation for health behaviour
   change from a self-determination theory perspective",2019,213
1386,"Sebire,   Simon J.","A meta-analysis of techniques to promote motivation for health behaviour
   change from a self-determination theory perspective",2019,213
178,"Croot, Liz","Developing interventions to improve health: a systematic mapping review
   of international practice between 2015 and 2016",2019,207
206,"O'Cathain, Alicia","Taxonomy of approaches to developing interventions to improve health: a
   systematic methods overview",2019,207
281,"Allom, Vanessa","Does inhibitory control training improve health behaviour? A
   meta-analysis",2016,207
993,"Sworn, Katie","Developing interventions to improve health: a systematic mapping review
   of international practice between 2015 and 2016",2019,207
1088,"Hagger, Martin","Does inhibitory control training improve health behaviour? A
   meta-analysis",2016,207
1356,"Yardley, Lucy","Developing interventions to improve health: a systematic mapping review
   of international practice between 2015 and 2016",2019,207
1379,"Duncan, Edward","Taxonomy of approaches to developing interventions to improve health: a
   systematic methods overview",2019,207
1674,"Turner, Katrina","Developing interventions to improve health: a systematic mapping review
   of international practice between 2015 and 2016",2019,207
2156,"Hoddinott, Pat","Developing interventions to improve health: a systematic mapping review
   of international practice between 2015 and 2016",2019,207
291,"Milat, Andrew J.","Narrative review of models and success factors for scaling up public
   health interventions",2015,202
702,"Bauman, Adrian","Narrative review of models and success factors for scaling up public
   health interventions",2015,202
1098,"Redman, Sally","Narrative review of models and success factors for scaling up public
   health interventions",2015,202
375,"Helfrich, Christian D.","A critical synthesis of literature on the promoting action on research
   implementation in health services (PARIHS) framework",2010,198
1174,"Hagedorn, Hildi J.","A critical synthesis of literature on the promoting action on research
   implementation in health services (PARIHS) framework",2010,198
1510,"Daggett, Ginger S.","A critical synthesis of literature on the promoting action on research
   implementation in health services (PARIHS) framework",2010,198
1804,"Sahay, Anju","A critical synthesis of literature on the promoting action on research
   implementation in health services (PARIHS) framework",2010,198
2042,"Ritchie, Mona","A critical synthesis of literature on the promoting action on research
   implementation in health services (PARIHS) framework",2010,198
2238,"Damush,   Teresa","A critical synthesis of literature on the promoting action on research
   implementation in health services (PARIHS) framework",2010,198
2513,"Ullrich, Philip M.","A critical synthesis of literature on the promoting action on research
   implementation in health services (PARIHS) framework",2010,198
1696,"Rousseau, Nikki","Taxonomy of approaches to developing interventions to improve health: a
   systematic methods overview",2019,188
122,"Smith, Justin D.","The Implementation Research Logic Model: a method for planning,
   executing, reporting, and synthesizing implementation projects",2020,173
501,"Lund, Crick","Acceptability and feasibility of peer-administered group interpersonal
   therapy for depression for people living with HIV/AIDS-a pilot study in
   Northwest Ethiopia",2021,172
0,"Crutzen, Rik","A lean method for selecting determinants when developing behavior change
   interventions",2023,171
304,"Peters, Gjalt-Jorn Ygram","Everything should be as simple as possible, but no simpler: towards a
   protocol for accumulating evidence regarding the active content of
   health behaviour change interventions",2015,171
273,"Breuer, Erica","Using theory of change to design and evaluate public health
   interventions: a systematic review",2016,167
390,"Araujo-Soares, Vera","Development and exploratory cluster-randomised opportunistic trial of a
   theory-based intervention to enhance physical activity among adolescents",2009,167
684,"Lee, Lucy","Using theory of change to design and evaluate public health
   interventions: a systematic review",2016,167
1081,"De Silva, Mary","Using theory of change to design and evaluate public health
   interventions: a systematic review",2016,167
1411,"Kirk, M.   Alexis","Combined use of the Consolidated Framework for Implementation Research
   (CFIR) and the Theoretical Domains Framework (TDF): a systematic review",2017,164
1983,"Gould, Natalie J.","Combined use of the Consolidated Framework for Implementation Research
   (CFIR) and the Theoretical Domains Framework (TDF): a systematic review",2017,164
2196,"Shea,   Christopher M.","Combined use of the Consolidated Framework for Implementation Research
   (CFIR) and the Theoretical Domains Framework (TDF): a systematic review",2017,164
344,"Kolehmainen, Niina","Specifying content and mechanisms of change in interventions to change
   professionals' practice: an illustration from the Good Goals study in
   occupational therapy",2012,153
345,"Huis, Anita","A systematic review of hand hygiene improvement strategies: a
   behavioural approach",2012,152
756,"van Achterberg, Theo","A systematic review of hand hygiene improvement strategies: a
   behavioural approach",2012,152
1486,"Grol,   Richard","A systematic review of hand hygiene improvement strategies: a
   behavioural approach",2012,152
1784,"Schoonhoven, Lisette","A systematic review of hand hygiene improvement strategies: a
   behavioural approach",2012,152
2025,"Hulscher, Marlies","A systematic review of hand hygiene improvement strategies: a
   behavioural approach",2012,152
332,"Albrecht, Lauren","Development of a checklist to assess the quality of reporting of
   knowledge translation interventions using the Workgroup for Intervention
   Development and Evaluation Research (WIDER) recommendations",2013,151
743,"Archibald, Mandy","Development of a checklist to assess the quality of reporting of
   knowledge translation interventions using the Workgroup for Intervention
   Development and Evaluation Research (WIDER) recommendations",2013,151
1135,"Arseneau, Danielle","Development of a checklist to assess the quality of reporting of
   knowledge translation interventions using the Workgroup for Intervention
   Development and Evaluation Research (WIDER) recommendations",2013,151
1478,"Scott,   Shannon D.","Development of a checklist to assess the quality of reporting of
   knowledge translation interventions using the Workgroup for Intervention
   Development and Evaluation Research (WIDER) recommendations",2013,151
600,"Spruit, Anouk","Effects of music interventions on stress-related outcomes: a systematic
   review and two meta-analyses",2020,150
1363,"Moonen,   Xavier","Effects of music interventions on stress-related outcomes: a systematic
   review and two meta-analyses",2020,150
308,"Salter, Katherine L.","Using realist evaluation to open the black box of knowledge translation:
   a state-of-the-art review",2014,143
719,"Kothari, Anita","Using realist evaluation to open the black box of knowledge translation:
   a state-of-the-art review",2014,143
251,"McDonald, Suzanne","The state of the art and future opportunities for using longitudinal
   n-of-1 methods in health behaviour research: a systematic literature
   overview",2017,140
535,"Li, Dennis H.","The Implementation Research Logic Model: a method for planning,
   executing, reporting, and synthesizing implementation projects",2020,139
939,"Rafferty, Miriam R.","The Implementation Research Logic Model: a method for planning,
   executing, reporting, and synthesizing implementation projects",2020,139
1318,"Bonell, Chris","The sustainability of public health interventions in schools: a
   systematic review",2020,139
243,"Colquhoun, Heather L.","Methods for designing interventions to change healthcare professionals'
   behaviour: a systematic review",2017,136
655,"Squires, Janet E.","Methods for designing interventions to change healthcare professionals'
   behaviour: a systematic review",2017,136
1409,"Fraser, Cynthia","Methods for designing interventions to change healthcare professionals'
   behaviour: a systematic review",2017,136
136,"Herlitz, Lauren","The sustainability of public health interventions in schools: a
   systematic review",2020,133
549,"MacIntyre, Helen","The sustainability of public health interventions in schools: a
   systematic review",2020,133
952,"Osborn, Tom","The sustainability of public health interventions in schools: a
   systematic review",2020,133
294,"Leeman, Jennifer","What strategies are used to build practitioners' capacity to implement
   community-based interventions and are they effective?: a systematic
   review",2015,130
705,"Calancie, Larissa","What strategies are used to build practitioners' capacity to implement
   community-based interventions and are they effective?: a systematic
   review",2015,130
1101,"Hartman, Marieke A.","What strategies are used to build practitioners' capacity to implement
   community-based interventions and are they effective?: a systematic
   review",2015,130
1323,"Wolfenden, Luke","A pilot randomised controlled trial of a web-based implementation
   intervention to increase child intake of fruit and vegetables within
   childcare centres",2020,130
1450,"Escoffery, Cam T.","What strategies are used to build practitioners' capacity to implement
   community-based interventions and are they effective?: a systematic
   review",2015,130
1754,"Herrmann, Alison K.","What strategies are used to build practitioners' capacity to implement
   community-based interventions and are they effective?: a systematic
   review",2015,130
2000,"Tague, Lindsay E.","What strategies are used to build practitioners' capacity to implement
   community-based interventions and are they effective?: a systematic
   review",2015,130
2210,"Moore, Alexis A.","What strategies are used to build practitioners' capacity to implement
   community-based interventions and are they effective?: a systematic
   review",2015,130
2370,"Wilson, Katherine M.","What strategies are used to build practitioners' capacity to implement
   community-based interventions and are they effective?: a systematic
   review",2015,130
2499,"Schreiner, Michelle","What strategies are used to build practitioners' capacity to implement
   community-based interventions and are they effective?: a systematic
   review",2015,130
2601,"Samuel-Hodge, Carmen","What strategies are used to build practitioners' capacity to implement
   community-based interventions and are they effective?: a systematic
   review",2015,130
1028,"Noser, Amy E.","Physical Activity and Health-Related Quality of Life in Children and
   Adolescents: A Systematic Review and Meta-Analysis",2018,129
120,"McCleary, Nicola","Interventions Supporting Cardiac Rehabilitation Completion: Process
   Evaluation Investigating Theory-Based Mechanisms of Action",2020,127
1072,"Bolman, Catherine","A Randomized Controlled Trial of Web-Based Attentional Bias Modification
   to Help Smokers Quit",2016,126
169,"Movsisyan, A.","Adapting evidence-informed complex population health interventions for
   new contexts: a systematic review of guidance",2019,122
215,"Marker, Arwen M.","Physical Activity and Health-Related Quality of Life in Children and
   Adolescents: A Systematic Review and Meta-Analysis",2018,122
582,"Arnold, L.","Adapting evidence-informed complex population health interventions for
   new contexts: a systematic review of guidance",2019,122
627,"Steele, Ric G.","Physical Activity and Health-Related Quality of Life in Children and
   Adolescents: A Systematic Review and Meta-Analysis",2018,122
984,"Evans, R.","Adapting evidence-informed complex population health interventions for
   new contexts: a systematic review of guidance",2019,122
1347,"Hallingberg, B.","Adapting evidence-informed complex population health interventions for
   new contexts: a systematic review of guidance",2019,122
1668,"Moore, G.","Adapting evidence-informed complex population health interventions for
   new contexts: a systematic review of guidance",2019,122
1934,"O'Cathain, A.","Adapting evidence-informed complex population health interventions for
   new contexts: a systematic review of guidance",2019,122
2152,"Pfadenhauer, L. M.","Adapting evidence-informed complex population health interventions for
   new contexts: a systematic review of guidance",2019,122
2323,"Segrott, J.","Adapting evidence-informed complex population health interventions for
   new contexts: a systematic review of guidance",2019,122
2459,"Rehfuess, E.","Adapting evidence-informed complex population health interventions for
   new contexts: a systematic review of guidance",2019,122
83,"Mazza, Danielle","Implementing work-related Mental health guidelines in general PRacticE
   (IMPRovE): a protocol for a hybrid III parallel cluster randomised
   controlled trial",2021,121
