Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,Percent of articles in Citable items,Average JIF Percentile,Journal Name
2010,"2,080",1.591,1.432,2.22,0.384,73,100.0,66.918,Psychology and Health
2009,"1,903",1.692,1.452,2.297,0.449,78,100.0,71.75,Psychology and Health
2008,"1,761",2.083,1.688,2.49,0.389,54,98.15,81.634,Psychology and Health
2007,"1,542",1.621,1.158,2.516,0.3,50,100.0,74.594,Psychology and Health
2006,"1,296",1.636,1.121,,0.196,46,97.83,72.096,Psychology and Health
2005,"1,196",1.796,1.337,,0.082,49,95.92,77.055,Psychology and Health
2004,978,1.683,1.257,,0.24,50,100.0,86.167,Psychology and Health
2003,821,1.307,0.822,,0.0,48,100.0,77.303,Psychology and Health
2002,663,0.92,0.76,,0.208,53,96.23,63.962,Psychology and Health
2001,695,0.705,0.662,,0.083,48,93.75,55.287,Psychology and Health
2000,608,0.909,0.636,,0.104,77,98.7,63.717,Psychology and Health
1999,656,1.342,0.829,,0.194,62,98.39,81.78,Psychology and Health
1998,471,0.729,0.695,,0.611,36,97.22,63.462,Psychology and Health
1997,371,0.631,0.621,,0.0,43,93.02,63.39,Psychology and Health
2022,"5,402",3.8,3.8,3.5,0.6,219,95.89,64.9,"Psychology, Health & Medicine"
2021,"5,070",3.898,3.793,3.536,0.905,232,95.26,62.033,"Psychology, Health & Medicine"
2020,"3,832",2.423,2.328,2.656,1.227,269,96.65,45.917,"Psychology, Health & Medicine"
2019,"2,497",1.706,1.647,1.904,0.884,121,96.69,43.557,"Psychology, Health & Medicine"
2018,"2,240",1.603,1.533,1.789,0.492,132,97.73,43.835,"Psychology, Health & Medicine"
2017,"1,949",1.589,1.517,1.652,0.623,154,96.75,45.58,"Psychology, Health & Medicine"
2016,"1,826",1.5,1.44,1.857,0.466,103,99.03,42.868,"Psychology, Health & Medicine"
2015,"1,419",1.347,1.267,1.731,0.385,104,100.0,40.776,"Psychology, Health & Medicine"
2014,"1,258",1.255,1.175,1.825,0.385,78,100.0,37.965,"Psychology, Health & Medicine"
2013,"1,129",1.532,1.476,,0.292,72,98.61,51.449,"Psychology, Health & Medicine"
2012,"1,035",1.375,1.342,,0.246,65,95.38,44.982,"Psychology, Health & Medicine"
2011,805,1.178,1.101,,0.085,59,89.83,40.655,"Psychology, Health & Medicine"
2022,"13,711",4.2,4.1,4.9,1.0,101,94.06,79.8,Health Psychology
2021,"16,012",5.556,5.418,6.123,0.664,113,94.69,82.593,Health Psychology
2020,"15,057",4.267,4.148,5.487,2.131,107,96.26,81.186,Health Psychology
2019,"11,884",3.052,2.956,4.411,0.737,118,97.46,77.66,Health Psychology
2018,"11,641",3.53,3.449,4.418,0.544,125,94.4,85.922,Health Psychology
2017,"10,929",3.177,3.073,4.122,0.441,127,98.43,80.272,Health Psychology
2016,"10,344",3.458,3.304,4.352,0.647,156,97.44,84.593,Health Psychology
2015,"9,792",3.611,3.491,4.443,0.681,144,99.31,85.338,Health Psychology
2014,"9,083",3.59,3.485,4.686,0.58,188,98.4,86.286,Health Psychology
2013,"8,828",3.954,3.801,5.224,1.176,136,97.06,86.824,Health Psychology
2012,"7,925",3.832,3.689,5.021,0.573,103,99.03,87.289,Health Psychology
2011,"7,288",3.873,3.697,4.796,0.43,93,96.77,88.47,Health Psychology
2010,"7,148",3.982,3.728,4.612,0.541,74,98.65,90.572,Health Psychology
2009,"6,913",3.462,3.294,4.416,0.396,91,98.9,86.461,Health Psychology
2008,"6,581",3.652,3.435,4.889,0.508,126,99.21,87.7,Health Psychology
2007,"5,846",2.966,2.787,4.566,0.411,95,96.84,84.869,Health Psychology
2006,"5,703",3.693,3.518,,0.697,89,96.63,91.386,Health Psychology
2005,"5,335",3.513,3.309,,0.416,89,98.88,90.437,Health Psychology
2004,"4,628",2.628,2.48,,0.675,77,97.4,92.262,Health Psychology
2003,"4,071",2.347,2.223,,0.213,75,100.0,90.964,Health Psychology
2002,"3,927",3.5,3.339,,0.301,73,100.0,96.988,Health Psychology
2001,"3,554",2.919,2.819,,0.333,48,95.83,95.57,Health Psychology
2000,"3,702",3.074,2.837,,0.592,76,98.68,94.512,Health Psychology
1999,"3,333",2.784,2.6,,0.507,73,100.0,93.678,Health Psychology
1998,"2,813",2.117,1.983,,0.758,62,96.77,92.529,Health Psychology
1997,"2,502",2.496,2.283,,0.81,63,96.83,94.706,Health Psychology
2022,820,2.7,2.6,3.2,0.6,65,93.85,,Health Psychology and Behavioral Medicine
2021,578,,,,,53,92.45,,Health Psychology and Behavioral Medicine
2020,421,,,,,31,96.77,,Health Psychology and Behavioral Medicine
2022,849,2.9,2.9,3.4,0.3,13,92.31,,Health Psychology Open
2021,728,,,,,34,82.35,,Health Psychology Open
2020,542,,,,,48,89.58,,Health Psychology Open
2022,342,2.0,1.7,1.6,0.9,16,100.0,,Health Psychology Reports
2021,333,,,,,32,96.88,,Health Psychology Reports
2020,179,,,,,32,87.5,,Health Psychology Reports
